,Concurso,Data Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Time Coração,Ganhadores 7 acertos,Cidade / UF,Rateio 7 acertos,Ganhadores 6 acertos,Rateio 6 acertos,Ganhadores 5 acertos,Rateio 5 acertos,Ganhadores 4 acertos,Rateio 4 acertos,Ganhadores 3 acertos,Rateio 3 acertos,Ganhadores Time Coração,Rateio Time Coração,Acumulado 7 acertos,Arrecadação Total,Estimativa Prêmio,Observação
1180,1194,19/06/2018,5,23,28,52,60,72,80,CRB/AL,0,,"R$0,00",13,"R$10.897,38",267,"R$757,97",5217,"R$6,00",48601,"R$2,00",10509,"R$5,00","R$8.674.639,07","R$2.593.366,00","R$8.900.000,00",
1181,1195,21/06/2018,6,9,13,38,56,61,75,AMERICANO/RJ,0,,"R$0,00",3,"R$46.508,91",324,"R$615,19",5045,"R$6,00",47955,"R$2,00",10014,"R$5,00","R$9.023.455,84","R$2.549.716,00","R$9.300.000,00",
1182,1196,23/06/2018,19,24,26,47,53,54,70,AMÉRICA/MG,0,,"R$0,00",4,"R$29.609,69",226,"R$748,66",4123,"R$6,00",39307,"R$2,00",10797,"R$5,00","R$9.319.552,72","R$2.181.148,00","R$9.500.000,00",
1183,1197,26/06/2018,9,19,26,29,33,34,58,ATLÉTICO/GO,0,,"R$0,00",8,"R$19.057,47",351,"R$620,51",6237,"R$6,00",56583,"R$2,00",17268,"R$5,00","R$9.700.702,05","R$2.882.448,00","R$10.000.000,00",
1184,1198,28/06/2018,18,30,40,47,48,51,79,SÃO RAIMUNDO/AM,0,,"R$0,00",5,"R$33.589,77",208,"R$1.153,49",4432,"R$6,00",44867,"R$2,00",10557,"R$5,00","R$10.120.574,17","R$2.975.534,00","R$10.300.000,00",
1185,1199,30/06/2018,10,22,24,29,30,34,36,JUVENTUS/SP,0,,"R$0,00",7,"R$26.208,28",317,"R$826,75",6356,"R$6,00",59213,"R$2,00",14428,"R$5,00","R$10.960.135,05","R$3.345.904,00","R$11.300.000,00",
1186,1200,03/07/2018,15,53,58,62,65,74,77,SÃO PAULO/SP,0,,"R$0,00",8,"R$18.467,19",385,"R$548,19",5595,"R$6,00",52149,"R$2,00",49654,"R$5,00","R$11.329.478,96","R$3.133.492,00","R$11.700.000,00",
1187,1201,05/07/2018,18,24,26,33,36,52,54,SÃO  CAETANO/SP,1,MANAUS/AM,"R$11.778.109,21",16,"R$11.215,75",396,"R$647,37",7236,"R$6,00",63018,"R$2,00",13311,"R$5,00","R$0,00","R$3.299.582,00","R$100.000,00",
1188,1202,07/07/2018,12,36,44,58,63,69,75,SÃO CAETANO/SP,0,,"R$0,00",13,"R$4.758,87",158,"R$559,36",2330,"R$6,00",19900,"R$2,00",4269,"R$5,00","R$154.663,17","R$1.123.956,00","R$300.000,00",
1189,1203,10/07/2018,11,24,31,44,50,57,62,SAMPAIO CORRÊA/MA,0,,"R$0,00",1,"R$52.392,62",66,"R$1.134,03",1477,"R$6,00",15131,"R$2,00",3834,"R$5,00","R$285.644,71","R$940.276,00","R$400.000,00",
1190,1204,12/07/2018,5,29,32,39,51,65,70,BRASILIENSE/DF,0,,"R$0,00",1,"R$57.857,17",74,"R$1.116,93",1427,"R$6,00",14827,"R$2,00",3469,"R$5,00","R$679.940,01","R$1.019.188,00","R$800.000,00",
1191,1205,14/07/2018,7,23,29,54,69,70,75,PONTE PRETA/SP,0,,"R$0,00",3,"R$20.002,95",113,"R$758,64",2021,"R$6,00",19068,"R$2,00",4083,"R$5,00","R$829.962,12","R$1.085.460,00","R$950.000,00",
1192,1206,17/07/2018,5,8,13,41,48,49,69,PAULISTA/SP,0,,"R$0,00",3,"R$19.922,05",132,"R$646,81",2125,"R$6,00",20674,"R$2,00",2376,"R$5,00","R$979.377,45","R$1.071.476,00","R$1.200.000,00",
1193,1207,19/07/2018,4,35,41,43,48,53,56,ATHLÉTICO/PR,0,,"R$0,00",3,"R$19.628,61",114,"R$737,91",2001,"R$6,00",18975,"R$2,00",8701,"R$5,00","R$1.126.591,97","R$1.117.552,00","R$1.300.000,00",
1194,1208,21/07/2018,7,8,9,35,52,70,79,AMERICANO/RJ,0,,"R$0,00",5,"R$12.708,78",108,"R$840,52",2005,"R$6,00",20126,"R$2,00",4346,"R$5,00","R$1.285.451,70","R$1.147.602,00","R$1.400.000,00",
1195,1209,24/07/2018,5,9,18,29,56,63,68,DESPORTIVA/ES,0,,"R$0,00",3,"R$21.950,95",151,"R$623,01",2413,"R$6,00",22364,"R$2,00",3169,"R$5,00","R$1.604.112,58","R$1.185.714,00","R$1.700.000,00",
