,Concurso,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Jogo 5,Jogo 6,Jogo 7,Jogo 8,Jogo 9,Jogo 10,Jogo 11,Jogo 12,Jogo 13,Jogo 14,Ganhadores 14 Acertos,Cidade / UF, Rateio 14 Acertos,Ganhadores 13 Acertos,Rateio 13 Acertos,Acumulado 14 Acertos,Arrecadacao Total,Estimativa Prêmio,Observação
819,820,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,6,"SALVADOR/BA; 
BRASÍLIA/DF; 
GOIÂNIA/GO; 
SERRO/MG; 
ARROIO DO TIGRE/RS; 
SÃO PAULO/SP","R$120.846,55",225,"R$489,87",Não,"R$1.953.873,00","R$300.000,00",
820,821,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,3,"ARAÇUAÍ/MG; 
CAMPO GRANDE/MS; 
CAMPINAS/SP","R$77.097,09",72,"R$983,38",Não,"R$1.255.125,00","R$250.000,00",
821,822,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,14,"CAETITE/BA; 
SALVADOR/BA; 
BRASÍLIA/DF; 
NOVO GAMA/GO; 
PASSA QUATRO/MG; 
BELÉM/PA; 
APUCARANA/PR; 
CARLOS BARBOSA/RS; 
POÁ/SP; 
SÃO PAULO/SP; 
DIANÓPOLIS/TO","R$20.198,69",408,"R$212,17",Não,"R$1.534.542,00","R$300.000,00",
822,823,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,2,"CONTAGEM/MG; 
SOCORRO/SP","R$163.469,62",75,"R$1.334,44",Não,"R$1.774.168,00","R$300.000,00",
823,824,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,2,"CAMPO GRANDE/MS; 
RECIFE/PE","R$122.410,38",53,"R$1.414,05",Não,"R$1.328.544,00","R$600.000,00",
824,825,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,1,FORTALEZA/CE,"R$625.739,46",28,"R$2.417,65",Não,"R$1.714.297,00","R$300.000,00",
825,826,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,0,,"R$0,00",0,"R$0,00",Sim,"R$1.599.417,00","R$750.000,00",
826,827,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,0,,"R$0,00",16,"R$4.956,68",Sim,"R$2.008.379,00","R$1.200.000,00",A CAIXA INFORMA QUE O JOGO Nº 14 (BOTAFOGO/RJ X PARANÁ/PR) DO CONCURSO 828 FOI ADIADO PARA O DIA 26/11/2018 ÀS 20H. A APURAÇÃO DESSE CONCURSO SERÁ REALIZADA EM 27/11/2018 ATÉ AS 18H.
827,828,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,5,"BELO HORIZONTE/MG; 
CURITIBA/PR; 
RIO DE JANEIRO/RJ; 
SÃO JOSÉ DOS CAMPOS/SP; 
SÃO PAULO/SP","R$245.283,49",166,"R$919,14",Não,"R$2.704.747,00","R$300.000,00",
828,829,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,82,"AL; 
BA; 
CE; 
DF; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PE; 
PR; 
RJ; 
RO; 
RS; 
SC; 
SP","R$3.933,36",1660,"R$59,47",Não,"R$1.750.272,00","R$800.000,00",
829,830,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,0,,"R$0,00",14,"R$4.365,53",Sim,"R$1.547.744,00","R$1.000.000,00",
830,831,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,316,"AM; 
AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SP; 
TO; 
Canal Eletrônico","R$3.456,94",13325,"R$9,67",Não,"R$2.285.141,00","R$350.000,00",
831,832,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,10,"FORTALEZA/CE; 
UBERABA/MG; 
RECIFE/PE; 
CASCAVEL/PR; 
PARANAVAÍ/PR; 
Aracaju/SE; 
BERTIOGA/SP; 
MAIRINQUE/SP; 
MOGI GUAÇU/SP","R$27.465,75",196,"R$428,97",Não,"R$1.490.456,00","R$250.000,00",
832,833,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,1,CAIEIRAS/SP,"R$222.952,55",27,"R$1.769,46",Não,"R$1.209.874,00","R$250.000,00",
833,834,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 2,0,,"R$0,00",1,"R$37.982,87",Sim,"R$961.883,00","R$700.000,00","A CAIXA INFORMA QUE O JOGO Nº 8 (NIMES/FRA X ANGERS/FRA) DO CONCURSO 835 FOI ADIADO PARA O DIA 23/01/2019, ÀS 19h. REFERIDO JOGO SERÁ SORTEADO EM 14/01/2019, ÀS 16h, NO ESPAÇO LOTERIAS CAIXA, EM SÃO PAULO/SP."
834,835,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,7,"BELO CAMPO/BA; 
JEQUIÉ/BA; 
QUIXADA/CE; 
ITUMBIARA/GO; 
TELEMACO BORBA/PR; 
XAVANTINA/SC; 
SÃO PAULO/SP","R$113.968,25",185,"R$537,05",Não,"R$1.761.244,00","R$300.000,00",
835,836,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,3,"ANÁPOLIS/GO; 
CAMPO GRANDE/MS; 
HERVAL/RS","R$84.428,76",46,"R$1.685,57",Não,"R$1.374.483,00","R$250.000,00",
836,837,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,29,"BA; 
CE; 
MA; 
MG; 
PA; 
PB; 
PE; 
PR; 
RJ; 
RS; 
SP","R$8.129,01",1189,"R$60,69",Não,"R$1.279.273,00","R$280.000,00",
837,838,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 2,0,,"R$0,00",58,"R$1.445,30",Sim,"R$1.486.005,00","R$700.000,00",
838,839,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,2,"BRASÍLIA/DF; 
CAMPO GRANDE/MS","R$318.166,15",87,"R$1.275,49",Não,"R$1.967.115,00","R$600.000,00",
839,840,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,4,"VALPARAISO DE GOIÁS/GO; 
NOVA IGUAÇU/RJ; 
RIO DE JANEIRO/RJ; 
GARIBALDI/RS","R$153.140,17",101,"R$914,92",Não,"R$1.638.095,00","R$300.000,00",
840,841,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,2,"RIO DE JANEIRO/RJ; 
Canal Eletrônico","R$140.197,49",148,"R$579,96",Não,"R$1.521.591,00","R$300.000,00",
841,842,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,0,,"R$0,00",74,"R$1.282,87",Sim,"R$1.682.858,00","R$600.000,00",
842,843,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,0,,"R$0,00",32,"R$2.082,55",Sim,"R$1.687.636,00","R$1.000.000,00",
843,844,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,0,,"R$0,00",2,"R$46.366,34",Sim,"R$2.348.374,00","R$2.000.000,00","A CAIXA INFORMA QUE O JOGO Nº 03 (CAMPINENSE/PB X TREZE/PB) DO CONCURSO 845 FOI ADIADO PARA O DIA 27/03/2019, ÀS 20h30. O REFERIDO JOGO SERÁ SORTEADO EM 25/03/2019, ÀS 17h, NO ESPAÇO LOTERIAS CAIXA EM SÃO PAULO/SP."
844,845,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,5,"JANUÁRIA/MG; 
SABARÁ/MG; 
BELÉM/PA; 
Curitiba/PR; 
CRICIÚMA/SC","R$398.961,39",127,"R$1.422,99",Não,"R$3.203.601,00","R$300.000,00",
845,846,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,40,"BA; 
CE; 
DF; 
GO; 
MA; 
MG; 
PA; 
PI; 
PR; 
RJ; 
RS; 
SE; 
SP; 
Canal Eletrônico","R$7.661,97",1459,"R$64,30",Não,"R$1.663.136,00","R$300.000,00",
846,847,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,83,"BA; 
DF; 
GO; 
MA; 
MG; 
MT; 
PA; 
PB; 
PI; 
PR; 
RJ; 
RO; 
RS; 
SC; 
SP; 
Canal Eletrônico","R$4.236,77",2131,"R$50,51",Não,"R$1.908.273,00","R$300.000,00",
847,848,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,0,,"R$0,00",21,"R$2.668,85",Sim,"R$1.419.313,00","R$600.000,00",
848,849,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,1,BALNEÁRIO CAMBORIÚ/SC,"R$637.352,09",59,"R$1.364,91",Não,"R$2.039.341,00","R$700.000,00",
849,850,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,1,BRASÍLIA/DF,"R$745.033,39",24,"R$3.043,98",Não,"R$1.850.069,00","R$300.000,00",
850,851,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",57,"R$1.453,35",Sim,"R$1.468.514,00","R$600.000,00",
851,852,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",4,"R$18.386,44",Sim,"R$1.862.482,00","R$1.000.000,00",
852,853,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,0,,"R$0,00",1,"R$100.372,23",Sim,"R$2.541.839,00","R$1.650.000,00",
853,854,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,0,,"R$0,00",55,"R$2.194,33",Sim,"R$3.056.322,00","R$2.500.000,00",
854,855,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,94,"AL; 
AM; 
BA; 
CE; 
DF; 
GO; 
MG; 
MS; 
MT; 
PA; 
PI; 
PR; 
RJ; 
RS; 
SC; 
SP; 
Canal Eletrônico","R$30.790,00",2082,"R$121,03",Não,"R$4.466.997,00","R$300.000,00",
855,856,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,3,"CAMAÇARI/BA; 
TESOURO/MT; 
BELÉM/PA","R$124.214,64",77,"R$1.481,48",Não,"R$2.022.189,00","R$200.000,00",
856,857,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,3,"PESQUEIRA/PE; 
GUARATINGUETA/SP; 
SÃO PAULO/SP","R$92.437,95",32,"R$1.857,01",Não,"R$1.504.871,00","R$300.000,00",
857,858,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,10,"BELO HORIZONTE/MG; 
CURITIBA/PR; 
BALNEÁRIO CAMBORIÚ/SC; 
RIO CLARO/SP; 
SÃO PAULO/SP; 
Canal Eletrônico","R$28.726,67",369,"R$238,31",Não,"R$1.558.881,00","R$400.000,00",
858,859,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,2,"FORTALEZA/CE; 
LINS/SP","R$198.713,80",45,"R$1.892,51",Não,"R$2.156.680,00","R$750.000,00",
859,860,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,0,,"R$0,00",2,"R$37.975,90",Sim,"R$1.923.413,00","R$1.300.000,00",
860,861,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,1,PINHAIS/PR,"R$1.246.155,59",10,"R$9.199,80",Não,"R$2.329.769,00","R$300.000,00",
861,862,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",13,"R$4.793,71",Sim,"R$1.578.155,00","R$650.000,00",
862,863,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,0,,"R$0,00",104,"R$1.105,48",Sim,"R$2.038.062,00","R$1.100.000,00",
863,864,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 2,0,,"R$0,00",25,"R$4.510,41",Sim,"R$2.855.554,00","R$2.200.000,00",
864,865,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,0,,"R$0,00",5,"R$26.550,21",Sim,"R$3.361.804,00","R$3.000.000,00",
865,866,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 1,230,"AP; 
BA; 
CE; 
DF; 
ES; 
GO; 
MA; 
MG; 
MS; 
MT; 
PA; 
PB; 
PE; 
PI; 
PR; 
RJ; 
RN; 
RO; 
RS; 
SC; 
SP; 
TO; 
Canal Eletrônico","R$12.567,41",4627,"R$43,32",Não,"R$3.553.824,00","R$300.000,00","DAS 230 APOSTAS GANHADORAS, 36 FORAM BOLÃO CAIXA.OS GANHADORES DO CANAL ELETRÔNICO, DO PRÊMIO PRINCIPAL SÃO DE GUARULHOS/SP,SÃO PEDRO DA ALDEIA/RJ, SÃO PAULO/SP(3), PARÁ DE MINAS/MG, SANTO ANDRÉ/SP, NATAL/RN, BALSAS/MA, JARDIM ITAPEMA/SP."
866,867,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,1,Canal Eletrônico,"R$296.047,69",5,"R$12.687,76",Não,"R$1.606.532,00","R$300.000,00",
867,868,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,0,,"R$0,00",2,"R$36.877,17",Sim,"R$1.867.764,00","R$800.000,00",
868,869,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,17,"BA; 
DF; 
ES; 
MG; 
MS; 
PR; 
SP; 
Canal Eletrônico","R$42.161,64",623,"R$183,06",Não,"R$2.021.613,00","R$800.000,00",- A APOSTA GANHADORA DO PRÊMIO PRINCIPAL DO MUNICÍPIO DE JUIZ DE FORA É UM BOLÃO CAIXA COM 10 COTAS.
869,870,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,5,"CANAL ELETRONICO; 
JAGUAQUARA/BA; 
CAMPO GRANDE/MS; 
SAO PAULO/SP","R$191.859,75",134,"R$1.071,85",Não,"R$2.545.928,00","R$300.000,00",
870,871,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,0,,"R$0,00",0,"R$0,00",Sim,"R$2.024.555,00","R$1.000.000,00",
871,872,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,20,"CANAL ELETRONICO; 
SALVADOR/BA; 
BRASILIA/DF; 
VILA VELHA/ES; 
SANTA LUZIA/MA; 
BELEM/PA; 
CARMO/RJ; 
NOVA IGUACU/RJ; 
RIO DE JANEIRO/RJ; 
CAXIAS DO SUL/RS; 
GRAVATAI/RS; 
ARARANGUA/SC; 
CARAPICUIBA/SP; 
ITATIBA/SP; 
NOVA EUROPA/SP; 
RIBEIRAO PRETO/SP; 
SAO JOSE DOS CAMPOS/SP; 
SAO PAULO/SP; 
SOROCABA/SP","R$42.921,18",622,"R$199,50",Não,"R$2.199.641,00","R$300.000,00",
872,873,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna do meio,0,,"R$0,00",0,"R$0,00",Sim,"R$1.926.805,00","R$900.000,00",
873,874,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,3,"SALVADOR/BA; 
ANAPOLIS/GO; 
PORTO ALEGRE/RS","R$310.102,22",58,"R$1.844,07",Não,"R$2.708.394,00","R$1.000.000,00",
874,875,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,95,"CANAL ELETRONICO; 
ALAGOINHAS/BA; 
BRUMADO/BA; 
CAEM/BA; 
CAMACARI/BA; 
EUSEBIO/CE; 
BRASILIA/DF; 
GUACUI/ES; 
ANAPOLIS/GO; 
LAVRAS/M; 
CASSIA/MG; 
CONSELHEIRO LAFAIETE/MG; 
CONTAGEM/MG; 
JUIZ DE FORA/MG; 
CAMPO GRANDE/MS; 
CUIABA/MT; 
CURITIBA/PR; 
BELFORD ROXO/RJ; 
CEARA-MIRIM/RN; 
BLUMENAU/SC; 
ARACAJU/SE; 
AMERICANA/SP; 
CERQUILHO/SP; 
COTIA/SP; 
CRUZEIRO/SP; 
EMBU DAS ARTES/SP; 
FERNANDOPOLIS/SP; 
INDAIATUBA/SP; 
ITAPECERICA DA SERRA/SP; 
ITAPEVA/SP","R$9.318,57",1495,"R$89,04",Não,"R$2.359.673,00","R$300.000,00",
875,876,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,9,"CUIABA/MT; 
SAO MIGUEL DA BAIXA GRAND/PI; 
COLOMBO/PR; 
CURITIBA/PR; 
PALOTINA/PR; 
CHAPECO/SC; 
FLORIANOPOLIS/SC; 
MOGI DAS CRUZES/SP; 
RIBEIRAO PRETO/SP","R$37.949,16",426,"R$245,43",Não,"R$1.853.298,00","R$300.000,00",
876,877,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 1,1,JAGUAQUARA/BA,"R$307.377,47",3,"R$21.955,53",Não,"R$1.667.910,00","R$300.000,00",
877,878,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,1,FATIMA DO SUL/MS,"R$271.950,57",2,"R$29.137,56",Não,"R$1.475.674,50","R$300.000,00",
878,879,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,0,,"R$0,00",2,"R$29.386,59",Sim,"R$1.488.286,50","R$1.000.000,00",
879,880,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,0,,"R$0,00",4,"R$21.244,00",Sim,"R$2.151.808,50","R$1.500.000,00",
880,881,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna 2,0,,"R$0,00",0,"R$0,00",Sim,"R$2.664.363,00","R$2.200.000,00",
881,882,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,2,"CURITIBA/PR; 
LONDRINA/PR","R$1.084.829,30",81,"R$1.463,79",Não,"R$3.002.415,00","R$300.000,00",
882,883,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna do meio,Coluna 2,Coluna 1,0,,"R$0,00",1,"R$38.542,87",Sim,"R$976.003,50","R$400.000,00",
883,884,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 2,0,,"R$0,00",1,"R$54.990,27",Sim,"R$1.392.493,50","R$1.300.000,00",
884,885,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,1,SAO PAULO/SP,"R$1.211.990,81",15,"R$5.331,57",Não,"R$2.025.133,50","R$300.000,00",
885,886,Coluna do meio,Coluna do meio,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,0,,"R$0,00",12,"R$3.903,14",Sim,"R$1.186.050,00","R$550.000,00",
886,887,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 2,Coluna 1,0,,"R$0,00",2,"R$32.965,76",Sim,"R$1.669.554,00","R$900.000,00",
