,Concurso,Jogo 1,Jogo 2,Jogo 3,Jogo 4,Jogo 5,Jogo 6,Jogo 7,Jogo 8,Jogo 9,Jogo 10,Jogo 11,Jogo 12,Jogo 13,Jogo 14,Ganhadores 14 Acertos,Cidade / UF, Rateio 14 Acertos,Ganhadores 13 Acertos,Rateio 13 Acertos,Acumulado 14 Acertos,Arrecadacao Total,Estimativa Prêmio,Observação
41,42,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 1,8,"BA; 
ES; 
MG; 
RJ; 
RS; 
SP","R$86.931,67",134,"R$570,40",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 acertos)próximo concurso: R$230.000,00. Apuração prevista para o dia 02.12.2002 (segunda-feiras) às 12hs."
42,43,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna do meio,Coluna 1,Coluna do meio,Coluna 1,Coluna 2,0,,"R$0,00",1,"R$44.069,98",Sim,"R$0,00","R$0,00","Estimativa de Prêmio (14 ACERTOS) para o próximo concurso: R$380.000,00. Apuração prevista para 09/12/2002 (segunda-feira) às 12 horas."
43,44,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,0,,"R$0,00",62,"R$956,22",Sim,"R$0,00","R$0,00","ACUMULOU!!!Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$650.000,00. O jogo 13 (TORINO/IT x ATALANTA/IT) teve seu resultado conhecido através de sorteio realizado em 09/12/2002 (segunda-feira) às 10 horas no Auditório da CAIXA em Brasília."
44,45,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,1,SP,"R$667.243,84",80,"R$1.091,07",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$225.000,00. Apuração prevista para 23/12/2002 (Segunda-feira) às 12 horas."
45,46,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna do meio,Coluna 2,Coluna do meio,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,0,,"R$0,00",1,"R$53.541,30",Sim,"R$0,00","R$0,00","ACUMULOU !!! O PRÓXIMO CONCURSO DA LOTECA (CONC 47)TERÁ VENDAS DE 30/12/2002 ATÉ 11/01/2003 E SERÁ APURADO EM 13/01/2003. ESTIMATIVA DE PRÊMIO DO PRÓXIMO CONCURSO (14 ACERTOS): R$ 500.000,00."
46,47,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna do meio,Coluna do meio,Coluna 2,Coluna do meio,Coluna do meio,Coluna 1,0,,"R$0,00",14,"R$4.290,38",Sim,"R$0,00","R$0,00","ACUMULOU!!!Estimativa de prêmio para o próximo concurso(14 ACERTOS): R$600.000,00. Apuração prevista para 20/01/2003 (segunda-feira) às 12 horas."
47,48,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna do meio,Coluna 1,Coluna 2,Coluna 1,Coluna 1,30,"DF; 
GO; 
MG; 
PA; 
PB; 
PR; 
RJ; 
RS; 
SC; 
SP","R$22.198,99",773,"R$98,82",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo  concurso: R$200.000,00. Apuração prevista para 27/01/2003 às 12hs."
48,49,Coluna do meio,Coluna 1,Coluna 2,Coluna do meio,Coluna 2,Coluna 1,Coluna 1,Coluna 1,Coluna 1,Coluna 2,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,6,"GO; 
MA; 
RJ; 
SP","R$29.620,64",162,"R$312,25",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) para o próximo concurso: R$200.000,00. Apuração prevista para 03/02/2003 (2ª feira) às 12hs."
49,50,Coluna do meio,Coluna 1,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna 2,Coluna 1,8,"DF; 
MA; 
RJ; 
RN; 
RS; 
SP","R$24.933,05",421,"R$134,86",Não,"R$0,00","R$0,00","Estimativa de prêmio (14 ACERTOS) próximo concurso: R$200.000,00."
50,51,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 2,Coluna 1,Coluna 2,Coluna 1,Coluna do meio,Coluna 1,Coluna 1,Coluna 1,Coluna do meio,Coluna 2,1,SP,"R$203.510,71",59,"R$985,53",Não,"R$0,00","R$0,00","ESTIMATIVA DE PRÊMIOS PARA O PRÓXIMO CONCURSO (14 ACERTOS): R$ 200.000,00."
