,Concurso,Data Sorteio,Bola1 sorteio 1,Bola2 sorteio 1,Bola3 sorteio 1,Bola4 Sorteio 1,Bola5 sorteio 1,Bola6 sorteio 1,Ganhadores 6 acertos  Sorteio 1,Cidade / UF,Rateio 6 acertos  Sorteio1,Ganhadores 5   acertos Sorteio1,Rateio 5 acertos Sorteio1,Ganhadores 4 acertos Sorteio1,Rateio 4 acertos Sorteio1,Ganhadores 3 acertos Sorteio1,Rateio 3 acertos Sorteio1,Bola1 sorteio 2,Bola2 sorteio 2,Bola3 sorteio 2,Bola4 Sorteio 2,Bola5 sorteio 2,Bola6 sorteio 2,Ganhadores 6 acertos Sorteio2,Rateio 6 acertos  Sorteio 2,Ganhadores 5 acertos Sorteio2,Rateio 5 acertos Sorteio 2,Ganhadores 4 acertos Sorteio2,Rateio 4 acertos Sorteio 2,Ganhadores 3 acertos Sorteio2,Rateio 3 acertos Sorteio 2, Acumulado 6 acertos sorteio 1,Arrecadacao Total,Estimativa Prêmio,Acumulado Sorteio Especial Dupla de Páscoa,Observação
679,680,05/08/2008,1,19,34,36,39,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,30,32,37,40,50,0,"R$0,00",21,"R$4.123,14",1352,"R$64,04",0,"R$0,00",Sim,"R$0,00","R$600.000,00","R$0,00",
680,681,08/08/2008,2,7,23,32,35,36,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,7,18,22,32,45,0,"R$0,00",18,"R$5.722,34",1228,"R$83,88",0,"R$0,00",Sim,"R$0,00","R$1.000.000,00","R$0,00",
681,682,12/08/2008,27,28,33,36,41,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",7,11,13,22,36,48,0,"R$0,00",45,"R$2.037,27",1877,"R$48,84",0,"R$0,00",Sim,"R$0,00","R$1.300.000,00","R$0,00",
682,683,15/08/2008,3,12,19,42,47,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,10,19,32,44,48,0,"R$0,00",34,"R$2.960,37",1513,"R$66,53",0,"R$0,00",Sim,"R$0,00","R$1.500.000,00","R$0,00",
683,684,19/08/2008,2,6,12,20,38,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",11,19,29,34,40,50,0,"R$0,00",14,"R$7.151,67",1018,"R$98,35",0,"R$0,00",Sim,"R$0,00","R$1.800.000,00","R$0,00",
684,685,22/08/2008,3,6,10,22,35,36,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,11,23,36,39,49,0,"R$0,00",40,"R$2.895,50",1589,"R$72,89",0,"R$0,00",Sim,"R$0,00","R$2.300.000,00","R$0,00",
685,686,26/08/2008,5,16,21,27,38,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,2,7,12,16,26,1,"R$158.370,75",47,"R$2.246,40",1823,"R$57,92",0,"R$0,00",Sim,"R$0,00","R$2.400.000,00","R$0,00",Ganhador da Sena 2º Sorteio: Paranaguá/PR.
686,687,29/08/2008,6,7,12,21,34,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,5,9,10,17,40,0,"R$0,00",21,"R$5.679,25",1857,"R$64,22",0,"R$0,00",Sim,"R$0,00","R$2.700.000,00","R$0,00",
687,688,02/09/2008,3,12,22,32,33,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,3,6,11,25,32,0,"R$0,00",35,"R$3.314,07",2026,"R$57,25",0,"R$0,00",Sim,"R$0,00","R$3.100.000,00","R$0,00",
688,689,05/09/2008,6,19,37,38,41,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,10,17,31,33,50,0,"R$0,00",39,"R$3.347,20",1910,"R$68,35",0,"R$0,00",Sim,"R$0,00","R$3.500.000,00","R$0,00",
689,690,09/09/2008,8,26,34,35,44,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,16,17,23,37,41,0,"R$0,00",67,"R$1.969,93",2071,"R$63,73",0,"R$0,00",Sim,"R$0,00","R$3.900.000,00","R$0,00",
690,691,12/09/2008,19,24,29,38,46,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",11,13,21,29,42,50,0,"R$0,00",40,"R$4.243,58",2230,"R$76,12",0,"R$0,00",Sim,"R$0,00","R$4.500.000,00","R$0,00",
691,692,16/09/2008,2,8,30,31,37,40,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",13,14,27,29,30,35,0,"R$0,00",45,"R$3.473,86",2160,"R$72,37",0,"R$0,00",Sim,"R$0,00","R$5.000.000,00","R$0,00",
692,693,19/09/2008,4,10,24,28,29,32,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,5,18,20,32,40,0,"R$0,00",39,"R$5.016,88",2286,"R$85,59",0,"R$0,00",Sim,"R$0,00","R$5.500.000,00","R$0,00",
693,694,23/09/2008,1,9,15,27,28,29,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,19,22,36,39,50,0,"R$0,00",54,"R$3.691,76",2946,"R$67,67",0,"R$0,00",Sim,"R$0,00","R$6.200.000,00","R$0,00",
694,695,26/09/2008,1,8,10,17,18,37,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,23,25,30,37,48,0,"R$0,00",61,"R$3.903,97",3867,"R$61,58",0,"R$0,00",Sim,"R$0,00","R$7.000.000,00","R$0,00",
695,696,30/09/2008,3,9,20,26,37,43,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,17,20,44,49,50,0,"R$0,00",93,"R$2.539,65",3574,"R$66,08",0,"R$0,00",Sim,"R$0,00","R$7.500.000,00","R$0,00",
696,697,03/10/2008,3,12,18,20,24,29,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,12,20,30,35,38,0,"R$0,00",61,"R$4.228,47",3057,"R$84,38",0,"R$0,00",Sim,"R$0,00","R$8.500.000,00","R$0,00",
697,698,07/10/2008,2,7,15,27,46,49,1,SP,"R$8.417.995,80",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,11,17,19,22,40,0,"R$0,00",62,"R$4.010,77",3864,"R$64,36",0,"R$0,00",Não,"R$0,00","R$500.000,00","R$0,00",GANHADOR DE 6 ACERTOS NO 1º SORTEIO: SÃO JOÃO DA BOA VISTA/SP.
698,699,10/10/2008,2,9,13,18,31,41,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,6,27,33,40,47,0,"R$0,00",20,"R$5.214,14",1392,"R$74,92",0,"R$0,00",Sim,"R$0,00","R$900.000,00","R$0,00",
699,700,14/10/2008,5,18,24,39,41,47,1,PA,"R$826.189,97",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,3,27,31,36,47,0,"R$0,00",12,"R$7.796,70",1092,"R$85,68",0,"R$0,00",Não,"R$0,00","R$300.000,00","R$0,00","Ganhador da Sena do 1º Sorteio: Belém/PA. Acumulou do 2º para o 1º Sorteio do próximo concurso: R$ 140.340,56."
700,701,17/10/2008,3,10,12,16,33,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,5,6,13,18,44,1,"R$143.881,01",33,"R$2.906,69",1948,"R$49,24",0,"R$0,00",Sim,"R$0,00","R$400.000,00","R$0,00",Ganhador da Sena do 2º Sorteio: Manaus/AM.
701,702,21/10/2008,7,16,18,29,31,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,9,10,13,24,36,0,"R$0,00",23,"R$3.573,17",1573,"R$52,25",0,"R$0,00",Sim,"R$0,00","R$700.000,00","R$0,00",
702,703,24/10/2008,2,6,10,12,42,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,11,40,45,48,50,0,"R$0,00",16,"R$6.006,38",1124,"R$85,50",0,"R$0,00",Sim,"R$0,00","R$1.000.000,00","R$0,00",
703,704,28/10/2008,3,8,30,45,49,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",7,8,28,41,42,44,0,"R$0,00",25,"R$3.880,83",1248,"R$77,74",0,"R$0,00",Sim,"R$0,00","R$1.300.000,00","R$0,00",
704,705,31/10/2008,3,5,7,30,31,32,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,11,15,27,38,48,0,"R$0,00",39,"R$2.962,64",1775,"R$65,10",0,"R$0,00",Sim,"R$0,00","R$1.700.000,00","R$0,00",
705,706,04/11/2008,3,6,7,17,34,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,3,11,19,29,42,0,"R$0,00",37,"R$2.969,86",1814,"R$60,58",0,"R$0,00",Sim,"R$0,00","R$2.000.000,00","R$0,00",
706,707,07/11/2008,1,5,15,16,36,39,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,4,9,36,37,41,0,"R$0,00",40,"R$3.188,69",1787,"R$71,38",0,"R$0,00",Sim,"R$0,00","R$2.400.000,00","R$0,00",
707,708,11/11/2008,16,20,25,27,33,34,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,8,9,11,19,44,1,"R$179.561,92",64,"R$1.870,44",2956,"R$40,50",0,"R$0,00",Sim,"R$0,00","R$2.600.000,00","R$0,00",GANHADOR DA SENA DO 2º SORTEIO: SÃO PAULO/SP.
708,709,14/11/2008,3,12,17,25,34,36,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",14,15,42,45,49,50,0,"R$0,00",15,"R$9.449,49",2145,"R$66,08",0,"R$0,00",Sim,"R$0,00","R$3.000.000,00","R$0,00",
709,710,18/11/2008,3,18,25,32,36,40,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,16,25,30,32,45,0,"R$0,00",44,"R$2.938,63",1830,"R$70,66",0,"R$0,00",Sim,"R$0,00","R$3.400.000,00","R$0,00",
710,711,21/11/2008,1,15,29,33,47,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,5,8,15,40,50,0,"R$0,00",60,"R$2.552,33",2209,"R$69,33",0,"R$0,00",Sim,"R$0,00","R$3.800.000,00","R$0,00",
711,712,25/11/2008,11,13,21,30,36,39,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,6,11,17,39,44,1,"R$217.472,11",55,"R$2.636,03",2883,"R$50,29",0,"R$0,00",Sim,"R$0,00","R$4.100.000,00","R$0,00",GANHADOR DO 2º SORTEIO: ITURAMA/MG.
712,713,28/11/2008,6,11,14,22,26,35,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,9,13,16,26,34,0,"R$0,00",43,"R$3.697,26",2357,"R$67,45",0,"R$0,00",Sim,"R$0,00","R$4.500.000,00","R$0,00",
713,714,02/12/2008,1,20,28,34,40,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,6,36,37,42,48,0,"R$0,00",20,"R$8.049,53",1888,"R$85,27",0,"R$0,00",Sim,"R$0,00","R$5.000.000,00","R$0,00",
714,715,05/12/2008,5,14,21,30,32,41,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,14,18,24,36,47,0,"R$0,00",64,"R$2.832,60",3100,"R$58,48",0,"R$0,00",Sim,"R$0,00","R$5.700.000,00","R$0,00",
715,716,09/12/2008,11,14,18,19,31,32,1,MG,"R$5.594.052,57",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,14,21,33,39,50,0,"R$0,00",27,"R$6.213,11",1725,"R$97,25",0,"R$0,00",Não,"R$0,00","R$400.000,00","R$0,00",GANHADOR DE 6 ACERTOS NO 1º SORTEIO: UBERLÂNDIA/MG.
716,717,12/12/2008,5,13,21,37,41,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,8,16,24,33,49,2,"R$80.952,60",37,"R$2.917,21",1763,"R$61,23",0,"R$0,00",Sim,"R$0,00","R$600.000,00","R$0,00",GANHADORES DE 6 ACERTOS NO SEGUNDO SORTEIO: PORTO ALEGRE/RS e RIO DE JANEIRO/RJ.
717,718,16/12/2008,2,27,30,43,46,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",13,23,27,29,43,44,0,"R$0,00",19,"R$4.930,97",1468,"R$63,82",0,"R$0,00",Sim,"R$0,00","R$900.000,00","R$0,00",
718,719,19/12/2008,6,23,24,25,26,50,1,SP,"R$868.900,47",0,"R$0,00",0,"R$0,00",0,"R$0,00",25,27,28,31,35,45,0,"R$0,00",21,"R$5.533,29",1212,"R$95,88",0,"R$0,00",Não,"R$0,00","R$300.000,00","R$0,00","Ganhador da sena 1º sorteio: Carapicuíba/SP. Acumulado sena 2º sorteio para sena 1º sorteio do próximo concurso: R$174.298,74."
719,720,23/12/2008,5,8,13,18,33,36,1,BA,"R$309.521,72",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,6,8,23,39,46,0,"R$0,00",26,"R$3.467,26",1473,"R$61,20",0,"R$0,00",Não,"R$0,00","R$250.000,00","R$0,00",O GANHADOR DE 6 ACERTOS NO 1º SORTEIO: SALVADOR/BA.
720,721,26/12/2008,4,9,16,20,25,34,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,7,15,16,38,44,0,"R$0,00",6,"R$12.427,81",973,"R$76,64",0,"R$0,00",Sim,"R$0,00","R$500.000,00","R$0,00",
721,722,30/12/2008,6,24,25,27,32,39,3,"RJ; 
SP","R$166.494,32",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,5,23,30,33,50,0,"R$0,00",21,"R$4.462,20",1259,"R$74,43",0,"R$0,00",Não,"R$0,00","R$250.000,00","R$0,00","Ganhadores da Sena do 1º Sorteio: Mogi das Cruzes/SP(2) e Teresópolis/RJ. Não houve ganhador da Sena do 2º Sorteio, portanto, acumulou para o 1º sorteio do próximo concurso: R$140.559,37."
722,723,02/01/2009,3,8,11,28,31,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",13,15,20,21,28,41,0,"R$0,00",18,"R$3.879,58",741,"R$94,24",0,"R$0,00",Sim,"R$0,00","R$500.000,00","R$0,00",
723,724,06/01/2009,3,6,9,14,26,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",20,21,25,27,38,39,0,"R$0,00",21,"R$4.263,98",834,"R$107,37",0,"R$0,00",Sim,"R$0,00","R$800.000,00","R$0,00",
724,725,09/01/2009,10,18,19,28,40,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",6,19,29,42,44,45,0,"R$0,00",20,"R$5.355,47",1485,"R$72,13",0,"R$0,00",Sim,"R$0,00","R$1.100.000,00","R$0,00",
725,726,13/01/2009,17,24,39,42,44,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,12,25,36,49,50,1,"R$144.514,79",34,"R$2.833,63",1657,"R$58,15",0,"R$0,00",Sim,"R$0,00","R$1.300.000,00","R$0,00",GANHADOR DE 6 ACERTOS NO 2º SORTEIO: ARACAJU/SE.
726,727,16/01/2009,2,9,20,24,40,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",17,20,32,45,48,49,0,"R$0,00",17,"R$6.390,00",1365,"R$79,58",0,"R$0,00",Sim,"R$0,00","R$1.600.000,00","R$0,00",
727,728,20/01/2009,1,2,6,12,42,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,11,18,25,27,39,0,"R$0,00",43,"R$2.270,52",1541,"R$63,35",0,"R$0,00",Sim,"R$0,00","R$1.900.000,00","R$0,00",
728,729,23/01/2009,1,3,4,6,16,30,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,9,20,39,41,43,0,"R$0,00",13,"R$9.861,60",1377,"R$93,10",0,"R$0,00",Sim,"R$0,00","R$2.200.000,00","R$0,00",
729,730,27/01/2009,3,4,31,33,44,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,17,30,31,43,46,0,"R$0,00",21,"R$5.591,98",1407,"R$83,47",0,"R$0,00",Sim,"R$0,00","R$2.700.000,00","R$0,00",
730,731,30/01/2009,11,17,27,35,44,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,9,10,20,21,46,0,"R$0,00",42,"R$3.197,93",2002,"R$67,09",0,"R$0,00",Sim,"R$0,00","R$3.000.000,00","R$0,00",
731,732,03/02/2009,13,32,33,40,44,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,19,27,37,47,50,0,"R$0,00",32,"R$4.038,75",1946,"R$66,41",0,"R$0,00",Sim,"R$0,00","R$3.500.000,00","R$0,00",
732,733,06/02/2009,4,12,18,23,27,50,1,CE,"R$3.456.267,02",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,28,30,40,43,49,0,"R$0,00",13,"R$11.558,60",1481,"R$101,46",0,"R$0,00",Não,"R$0,00","R$350.000,00","R$0,00",GANHADOR DE 6 ACERTOS NO 1º SORTEIO: FORTALEZA/CE.
733,734,10/02/2009,4,8,15,19,21,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,8,11,24,31,45,0,"R$0,00",19,"R$4.550,24",1110,"R$77,89",0,"R$0,00",Sim,"R$0,00","R$700.000,00","R$0,00",
734,735,13/02/2009,7,10,29,36,39,49,1,DF,"R$644.087,31",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,35,43,44,48,49,0,"R$0,00",22,"R$4.828,21",1337,"R$79,45",0,"R$0,00",Não,"R$0,00","R$250.000,00","R$0,00",Ganhador da Sena do 1º Sorteio: Brasília/DF.
735,736,17/02/2009,18,20,23,40,41,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,15,17,25,29,42,0,"R$0,00",24,"R$3.208,36",1189,"R$64,76",0,"R$0,00",Sim,"R$0,00","R$550.000,00","R$0,00",
736,737,20/02/2009,11,14,22,27,39,50,1,SP,"R$531.459,86",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,33,41,44,48,49,0,"R$0,00",31,"R$3.035,00",1738,"R$54,14",0,"R$0,00",Não,"R$0,00","R$250.000,00","R$0,00",Ganhador da Sena do 1º Sorteio: Marília/SP.
737,738,27/02/2009,3,6,7,13,21,35,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",20,21,31,37,41,50,0,"R$0,00",9,"R$10.774,21",939,"R$103,27",0,"R$0,00",Sim,"R$0,00","R$600.000,00","R$0,00",
738,739,03/03/2009,8,9,10,17,35,39,1,RJ,"R$559.352,86",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,8,10,12,28,31,2,"R$63.660,87",40,"R$2.122,03",1686,"R$50,35",0,"R$0,00",Não,"R$0,00","R$120.000,00","R$0,00",GANHADOR DA SENA (1º SORTEIO): RIO DE JANEIRO/RJ. GANHADORES DA SENA (2º SORTEIO): VARGINHA/MG E JACAREÍ/SP.
739,740,06/03/2009,7,20,22,42,45,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,14,26,29,36,44,0,"R$0,00",27,"R$3.131,41",1365,"R$61,94",0,"R$0,00",Sim,"R$0,00","R$400.000,00","R$0,00",
740,741,10/03/2009,13,18,20,33,39,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,18,22,29,33,39,0,"R$0,00",13,"R$6.020,60",827,"R$94,64",0,"R$0,00",Sim,"R$0,00","R$600.000,00","R$0,00",
741,742,13/03/2009,11,16,18,25,47,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",4,21,25,37,40,45,0,"R$0,00",14,"R$7.209,91",1245,"R$81,08",0,"R$0,00",Sim,"R$0,00","R$1.000.000,00","R$0,00",
742,743,17/03/2009,5,12,19,30,34,47,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,11,31,35,45,50,0,"R$0,00",14,"R$6.682,44",1243,"R$75,27",0,"R$0,00",Sim,"R$0,00","R$1.200.000,00","R$0,00",
743,744,20/03/2009,17,20,22,23,34,50,1,RS,"R$1.235.087,42",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,6,18,30,37,40,1,"R$163.161,64",25,"R$4.350,98",1166,"R$93,29",0,"R$0,00",Não,"R$0,00","R$120.000,00","R$0,00",GANHADORES DE 6 ACERTOS: PORTO ALEGRE/RS (1º SORTEIO) E ATIBAIA/SP (2º SORTEIO).
744,745,24/03/2009,1,6,19,25,35,40,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,6,10,22,23,29,0,"R$0,00",23,"R$3.266,24",1271,"R$59,11",0,"R$0,00",Sim,"R$0,00","R$400.000,00","R$0,00",
745,746,27/03/2009,5,21,22,28,42,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,8,17,37,44,47,0,"R$0,00",18,"R$4.917,78",1157,"R$76,51",0,"R$0,00",Sim,"R$0,00","R$600.000,00","R$0,00",
746,747,31/03/2009,2,14,17,24,40,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,10,24,26,45,50,0,"R$0,00",33,"R$2.508,43",1492,"R$55,48",0,"R$0,00",Sim,"R$0,00","R$900.000,00","R$0,00",
747,748,03/04/2009,6,14,21,40,42,46,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",3,9,23,29,32,50,0,"R$0,00",32,"R$3.218,48",1666,"R$61,82",0,"R$0,00",Sim,"R$0,00","R$1.200.000,00","R$0,00",
748,749,07/04/2009,8,9,22,40,46,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",10,14,17,21,33,43,0,"R$0,00",22,"R$4.457,90",1259,"R$77,90",0,"R$0,00",Sim,"R$0,00","R$1.500.000,00","R$0,00",
749,750,15/04/2009,10,17,31,35,40,44,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",1,9,14,22,46,47,0,"R$0,00",21,"R$5.659,67",1669,"R$71,22",0,"R$0,00",Sim,"R$0,00","R$1.900.000,00","R$0,00",
750,751,17/04/2009,21,24,26,33,39,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,24,26,42,44,49,1,"R$163.316,39",53,"R$2.054,29",2051,"R$53,09",0,"R$0,00",Sim,"R$0,00","R$2.000.000,00","R$0,00",O GANHADOR DA SENA DO 2º SORTEIO É DE SÃO PAULO/SP.
751,752,22/04/2009,3,6,11,20,25,36,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,24,31,37,41,45,0,"R$0,00",12,"R$5.262,98",826,"R$109,22",0,"R$0,00",Sim,"R$0,00","R$2.200.000,00","R$0,00",
752,753,24/04/2009,7,12,20,27,29,50,1,SP,"R$2.207.529,29",0,"R$0,00",0,"R$0,00",0,"R$0,00",8,10,25,35,37,42,0,"R$0,00",18,"R$5.767,63",1473,"R$100,68",0,"R$0,00",Não,"R$0,00","R$300.000,00","R$0,00",A APOSTA GANHADORA DA SENA DO 1º SORTEIO FOI REALIZADA EM SÃO PAULO/SP.
753,754,28/04/2009,10,28,35,38,40,41,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",13,16,19,45,48,50,0,"R$0,00",28,"R$2.647,40",1358,"R$77,97",0,"R$0,00",Sim,"R$0,00","R$500.000,00","R$0,00",
754,755,02/05/2009,7,28,33,34,39,45,1,RS,"R$455.433,62",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,10,27,47,48,50,0,"R$0,00",11,"R$4.686,46",877,"R$83,97",0,"R$0,00",Não,"R$0,00","R$200.000,00","R$0,00","GANHADOR DE 6 ACERTOS NO 1º SORTEIO: PORTO ALEGRE/RS. O VALOR ACUMULADO DO 2º PARA O 1ºSORTEIO NO PRÓXIMO CONCURSO É DE R$ 77.326,48."
755,756,05/05/2009,10,13,14,29,32,33,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",15,34,36,37,43,50,0,"R$0,00",16,"R$4.183,22",875,"R$109,27",0,"R$0,00",Sim,"R$0,00","R$400.000,00","R$0,00",
756,757,08/05/2009,6,14,19,22,35,49,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",26,39,40,43,44,46,0,"R$0,00",12,"R$7.513,50",1033,"R$124,68",0,"R$0,00",Sim,"R$0,00","R$700.000,00","R$0,00",
757,758,12/05/2009,4,11,19,24,34,45,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",9,11,20,31,35,41,0,"R$0,00",12,"R$6.860,21",890,"R$132,13",0,"R$0,00",Sim,"R$0,00","R$1.000.000,00","R$0,00",
758,759,15/05/2009,1,6,10,20,29,31,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,9,12,16,22,26,0,"R$0,00",42,"R$2.361,55",1661,"R$85,30",0,"R$0,00",Sim,"R$0,00","R$1.300.000,00","R$0,00",
759,760,19/05/2009,9,15,21,25,36,48,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",5,7,27,32,33,45,0,"R$0,00",36,"R$2.577,28",1801,"R$73,59",0,"R$0,00",Sim,"R$0,00","R$1.500.000,00","R$0,00",
760,761,22/05/2009,8,12,18,20,21,28,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,4,11,24,35,39,0,"R$0,00",25,"R$4.231,53",1389,"R$108,80",0,"R$0,00",Sim,"R$0,00","R$1.900.000,00","R$0,00",
761,762,26/05/2009,11,12,28,34,35,45,1,SÃO BERNARDO DO CAMPO/SP,"R$1.833.231,14",0,"R$0,00",0,"R$0,00",0,"R$0,00",13,22,23,45,49,50,0,"R$0,00",14,"R$6.875,77",1578,"R$87,14",0,"R$0,00",Não,"R$1.561.995,00","R$300.000,00","R$0,00","A APOSTA GANHADORA DE 6 ACERTOS NO 1º SORTEIO FOI REALIZADA EM SÃO BERNARDO DO CAMPO/SP. O VALOR ACUMULADO REFERE-SE AO PRÊMIO PARA 6 ACERTOS DO 2º SORTEIO, QUE NESTE CONCURSO NÃO HOUVE GANHADOR."
762,763,29/05/2009,31,33,40,41,49,50,1,SANTO ANDRÉ/SP,"R$277.261,01",0,"R$0,00",0,"R$0,00",0,"R$0,00",12,23,31,41,45,50,0,"R$0,00",15,"R$5.905,33",1159,"R$109,18",0,"R$0,00",Não,"R$1.437.361,00","R$250.000,00","R$0,00","A APOSTA GANHADORA DE 6 ACERTOS DO 1º SORTEIO FOI REALIZADA EM SANTO ANDRÉ/SP. O VALOR ACUMULADO REFERE-SE AO PRÊMIO PARA 6 ACERTOS DO 2º SORTEIO, QUE NESTE CONCURSO NÃO HOUVE GANHADOR."
763,764,02/06/2009,4,25,32,41,46,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",19,21,27,31,35,47,0,"R$0,00",16,"R$4.622,73",937,"R$112,76",0,"R$0,00",Sim,"R$1.200.188,00","R$500.000,00","R$0,00",
764,765,05/06/2009,4,7,11,20,24,42,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,4,5,31,44,49,0,"R$0,00",14,"R$6.324,13",1250,"R$101,18",0,"R$0,00",Sim,"R$1.436.677,00","R$800.000,00","R$0,00",
765,766,09/06/2009,9,17,38,39,41,50,0,,"R$0,00",0,"R$0,00",0,"R$0,00",0,"R$0,00",2,3,6,30,45,50,0,"R$0,00",35,"R$2.452,01",1623,"R$75,53",0,"R$0,00",Sim,"R$1.392.582,00","R$1.000.000,00","R$0,00",
